Country,Code,Year,TotalValue
Austria,AUT,2017,0.7
Belgium,BEL,2017,0.5
Denmark,DNK,2017,0.5
Estonia,EST,2017,1.5
Finland,FIN,2017,0.3
France,FRA,2017,0.8
Germany,DEU,2017,0.4
Greece,GRC,2017,1.1
Hungary,HUN,2017,0.5
Iceland,ISL,2017,0
Ireland,IRL,2017,0.4
Italy,ITA,2017,1.3
Latvia,LVA,2017,6.1
Luxembourg,LUX,2017,1
Netherlands,NLD,2017,1.2
Norway,NOR,2017,0.3
Poland,POL,2017,0.3
Portugal,PRT,2017,2.9
Slovenia,SVN,2017,0.3
Spain,ESP,2017,1.5
Switzerland,CHE,2017,0.8
Bulgaria,BGR,2017,0.7
Croatia,HRV,2017,0.5
Romania,ROU,2017,1.7
Ukraine,UKR,2017,21.9
Austria,AUT,2018,0.6
Belgium,BEL,2018,0.5
Denmark,DNK,2018,0.4
Estonia,EST,2018,1.9
Finland,FIN,2018,0.4
France,FRA,2018,0.8
Germany,DEU,2018,0.3
Greece,GRC,2018,0.9
Hungary,HUN,2018,0.6
Iceland,ISL,2018,0.6
Ireland,IRL,2018,0.2
Italy,ITA,2018,1.2
Latvia,LVA,2018,5.1
Luxembourg,LUX,2018,0.7
Netherlands,NLD,2018,1.1
Norway,NOR,2018,0.2
Poland,POL,2018,0.3
Portugal,PRT,2018,2.5
Slovenia,SVN,2018,0.5
Spain,ESP,2018,1.1
Switzerland,CHE,2018,0.8
Bulgaria,BGR,2018,0.8
Croatia,HRV,2018,0.7
Romania,ROU,2018,1.6
Ukraine,UKR,2018,20.9
Austria,AUT,2019,0.7
Belgium,BEL,2019,0.7
Denmark,DNK,2019,0.4
Estonia,EST,2019,2.3
Finland,FIN,2019,0.3
France,FRA,2019,0.9
Germany,DEU,2019,0.1
Greece,GRC,2019,0.9
Hungary,HUN,2019,0.5
Iceland,ISL,2019,1.1
Ireland,IRL,2019,0.2
Italy,ITA,2019,1
Latvia,LVA,2019,4.7
Luxembourg,LUX,2019,0.7
Netherlands,NLD,2019,0.9
Norway,NOR,2019,0.4
Poland,POL,2019,0.3
Portugal,PRT,2019,1.8
Slovenia,SVN,2019,0.4
Spain,ESP,2019,0.6
Switzerland,CHE,2019,0.8
Bulgaria,BGR,2019,1
Croatia,HRV,2019,0.5
Romania,ROU,2019,1.6
Ukraine,UKR,2019,17.9
Austria,AUT,2020,0.5
Belgium,BEL,2020,0.4
Denmark,DNK,2020,0.4
Estonia,EST,2020,1.7
Finland,FIN,2020,0.2
France,FRA,2020,0.6
Greece,GRC,2020,0.9
Hungary,HUN,2020,0.4
Iceland,ISL,2020,0.5
Ireland,IRL,2020,0.2
Italy,ITA,2020,0.7
Latvia,LVA,2020,2.9
Luxembourg,LUX,2020,1.1
Netherlands,NLD,2020,0.9
Norway,NOR,2020,0.2
Poland,POL,2020,0.1
Slovenia,SVN,2020,0.3
Spain,ESP,2020,0.9
Switzerland,CHE,2020,0.5
Bulgaria,BGR,2020,0.6
Croatia,HRV,2020,0.3
Romania,ROU,2020,1
Ukraine,UKR,2020,9.9
Austria,AUT,2021,0.6
Belgium,BEL,2021,0.5
Denmark,DNK,2021,0.3
Estonia,EST,2021,0.9
Finland,FIN,2021,0.3
France,FRA,2021,0.6
Greece,GRC,2021,0.8
Hungary,HUN,2021,0.5
Iceland,ISL,2021,0.5
Ireland,IRL,2021,0.2
Italy,ITA,2021,0.6
Latvia,LVA,2021,2
Luxembourg,LUX,2021,1.6
Netherlands,NLD,2021,0.6
Norway,NOR,2021,0.4
Poland,POL,2021,0.1
Slovenia,SVN,2021,0.2
Spain,ESP,2021,0.4
Switzerland,CHE,2021,0.4
Bulgaria,BGR,2021,0.5
Croatia,HRV,2021,0.6
Romania,ROU,2021,1
Ukraine,UKR,2021,10
