Country,Code,2017,2018,2019,2020,2021
Albania,ALB,1300,1300,1400,1400,1400
Andorra,AND,..,..,..,..,..
Armenia,ARM,4100,4500,4800,5200,5500
Austria,AUT,..,..,..,..,..
Azerbaijan,AZE,8900,9200,9600,9900,10000
Belarus,BLR,24000,25000,26000,26000,27000
Belgium,BEL,18000,18000,18000,19000,19000
Bosnia and Herzegovina,BIH,..,..,..,..,..
Bulgaria,BGR,2900,3000,3200,3300,3400
Croatia,HRV,1500,1600,1600,1700,1700
Cyprus,CYP,1200,1200,1300,1300,1400
Czechia,CZE,3200,3300,3500,3600,3800
Denmark,DNK,6600,6700,6800,6900,6900
Estonia,EST,7000,7100,7200,7300,7300
Finland,FIN,..,..,..,..,..
France,FRA,180000,180000,190000,190000,200000
Georgia,GEO,6600,7000,7400,7800,8100
Germany,DEU,83000,85000,87000,89000,91000
Greece,GRC,15000,15000,16000,16000,17000
Hungary,HUN,..,..,..,..,..
Iceland,ISL,500,500,500,500,500
Ireland,IRL,6900,7200,7400,7700,7900
Italy,ITA,140000,140000,140000,140000,140000
Latvia,LVA,6200,6600,6900,7100,7300
Lithuania,LTU,3100,3200,3400,3500,3600
Luxembourg,LUX,1100,1200,1200,1300,1300
Moldova,MDA,15000,15000,15000,16000,16000
Monaco,MCO,..,..,..,..,..
Montenegro,MNE,500,500,500,500,500
Netherlands,NLD,24000,24000,24000,24000,24000
North Macedonia,MKD,500,500,500,500,550
Poland,POL,17000,17000,18000,19000,20000
Portugal,PRT,44000,44000,45000,45000,46000
Romania,ROU,18000,18000,19000,19000,19000
Serbia,SRB,3100,3200,3400,3500,3700
Slovak Republic,SVK,880,970,1100,1200,1300
Slovenia,SVN,800,810,830,850,870
Spain,ESP,140000,150000,150000,150000,150000
Switzerland,CHE,..,..,..,..,..
Tajikistan,TJK,9700,11000,12000,13000,14000
